target_id	length	eff_length	est_counts	tpm
F27C1.7a.2	943	763.74	289.533	107.809
F27C1.7a.3	896	716.74	1090.14	432.535
F27C1.7a.4	942	762.74	111.12	41.4304
F27C1.7a.5	914	734.74	0	0
F27C1.7b	949	769.74	78.897	29.1487
D2045.1a	3612	3432.74	171.783	14.2312
D2045.1b	2527	2347.74	267.734	32.4307
D2045.1c	3190	3010.74	385.128	36.3776
D2045.1d	3695	3515.74	21.3558	1.72743
B0207.12a	1251	1071.74	2.01834	0.53556
B0207.12b	1457	1277.74	1.7337	0.385865
B0207.12c	720	540.74	0.247952	0.130401
R11G10.1a	2221	2041.74	0	0
R11G10.1b.1	1665	1485.74	0	0
R11G10.1b.2	1826	1646.74	15.0662	2.60185
R11G10.1c	733	553.74	2.93376	1.50668
B0464.7	555	375.74	497	376.159
F57B10.11	708	528.74	323	173.725
Y71F9AR.1	3399	3219.74	79	6.97764
C54D1.6	2594	2414.74	23	2.70869
C05D2.4a	1636	1456.74	56	10.9322
C05D2.4b	1663	1483.74	0	0
K08F8.4a	1563	1383.74	64.4727	13.2503
K08F8.4b	1411	1231.74	62.5273	14.4362
Y105E8A.5	1912	1732.74	1	0.164123
F20D12.3	2263	2083.74	0	0
T25F10.5	1710	1530.74	1	0.185781
T13C5.5	1052	872.74	50	16.2925
M7.3	2040	1860.74	11	1.68116
T19E7.3a	1334	1154.74	197	48.5159
T19E7.3b	555	375.74	0	0
C54C6.2	1403	1223.74	81.3906	18.9142
T27F2.3.1	568	388.74	133.581	97.721
T27F2.3.2	954	774.74	118.419	43.4678
C50B8.2	1057	877.74	201	65.1227
C09G5.6	2979	2799.74	1	0.101575
F59E12.12	970	790.74	1	0.359641
F56C11.1	4660	4480.74	63.9136	4.05645
K04F10.4a.1	2328	2148.74	219.84	29.0955
K04F10.4a.2	2327	2147.74	0.0484021	0.00640892
K04F10.4b.1	2376	2196.74	45.2134	5.85317
K04F10.4b.2	2375	2195.74	0.0117261	0.00151871
K04F10.4c.1	3563	3383.74	0	0
K04F10.4c.2	3562	3382.74	0	0
K04F10.4d.1	3207	3027.74	800.782	75.2139
K04F10.4d.2	3206	3026.74	2.06438	0.193962
K04F10.4e.1	2548	2368.74	0	0
K04F10.4e.2	2547	2367.74	0	0
K04F10.4f.1	2738	2558.74	5.03549	0.559652
K04F10.4f.2	2737	2557.74	0.00408979	0.000454723
F45G2.5	609	429.74	1	0.661754
Y73B6BL.34	994	814.74	4	1.39619
F23B12.8a.1	2999	2819.74	73.5781	7.42065
F23B12.8a.2	3003	2823.74	15.1679	1.52758
F23B12.8b	3028	2848.74	396.254	39.557
F13H8.10a	3688	3508.74	27.9924	2.26878
F13H8.10b	1955	1775.74	81.2639	13.0143
F13H8.10c.1	1803	1623.74	21.5873	3.7808
F13H8.10c.2	1884	1704.74	0.156394	0.0260893
F54B11.6	836	656.74	34	14.7227
F23H11.5.1	427	247.745	377.647	433.494
F23H11.5.2	487	307.74	410.353	379.207
C36A4.8a	1972	1792.74	202.815	32.1725
C36A4.8b	487	307.74	15.1849	14.0324
K04C2.4.1	2191	2011.74	0.522613	0.0738773
K04C2.4.2	2189	2009.74	1.58271	0.223956
K04C2.4.3	2210	2030.74	233.895	32.7543
C53B4.7a.1	1331	1151.74	33.8746	8.36416
C53B4.7a.2	1469	1289.74	0	0
C53B4.7b	1402	1222.74	0	0
C53B4.7c.1	1297	1117.74	16.1254	4.10272
C53B4.7c.2	1469	1289.74	0	0
C53B4.7c.3	1406	1226.74	0	0
C53B4.7d	1415	1235.74	0	0
C53B4.7e	1500	1320.74	0	0
Y39E4B.9a	1052	872.74	4.6039	1.50018
Y39E4B.9b	1194	1014.74	0	0
Y39E4B.9c	1203	1023.74	0	0
Y39E4B.9d	1288	1108.74	9.3961	2.41002
B0464.4.1	2033	1853.74	168.126	25.7923
B0464.4.2	2115	1935.74	118.033	17.3404
Y73E7A.7a	1327	1147.74	96.2318	23.8439
Y73E7A.7b	838	658.74	16.7682	7.23893
T12G3.8a	1670	1490.74	115.668	22.0656
T12G3.8b	1669	1489.74	0	0
F45E12.2	2600	2420.74	309	36.3005
F56A3.5	501	321.74	0	0
Y79H2A.1a	1808	1628.74	1247.94	217.894
Y79H2A.1b	1550	1370.74	0.056129	0.0116449
Y79H2A.1c	1735	1555.74	0	0
Y79H2A.1d	1388	1208.74	0	0
Y79H2A.1e	1754	1574.74	0	0
F15D4.1	5235	5055.74	430	24.1872
R06C7.8	3064	2884.74	934	92.0752
F57B9.5	1563	1383.74	290	59.6
C23H4.1.1	1942	1762.74	31.731	5.11915
C23H4.1.2	2008	1828.74	90.269	14.0375
C23H4.1.3	2083	1903.74	0	0
C23H4.1.4	2044	1864.74	3.34239e-08	5.09731e-09
F54D8.4	1098	918.74	13	4.02395
D1022.8	1196	1016.74	0	0
K05G3.3	1081	901.74	68	21.4452
R01E6.3a	1114	934.74	37.8777	11.5238
R01E6.3b	989	809.74	175.122	61.5033
R173.1	1119	939.74	63	19.0649
T28F2.3	974	794.74	0	0
C13C12.1a	756	576.74	0.0955104	0.0470948
C13C12.1b	787	607.74	18.9045	8.84605
C18E9.1	759	579.74	6	2.9432
M02B7.6a	848	668.74	2.18594	0.929572
M02B7.6b	671	491.74	3.81406	2.20574
T07G12.1a	1517	1337.74	4.59705	0.977259
T07G12.1b	935	755.74	3.40295	1.28052
T07G12.1c	822	642.74	0	0
C01G6.8a	3259	3079.74	39.4839	3.64593
C01G6.8b	3181	3001.74	240.572	22.7916
C01G6.8c	2783	2603.74	165.944	18.1245
D2024.6	1216	1036.74	538	147.576
M106.5	1421	1241.74	574.276	131.52
F41G4.2a	3990	3810.74	35.8	2.67163
F41G4.2b.1	1710	1530.74	0	0
F41G4.2b.2	1727	1547.74	373.2	68.5719
W01C8.6a	1874	1694.74	0	0
W01C8.6b	1685	1505.74	2	0.377731
B0432.5a	1672	1492.74	0	0
B0432.5b	1496	1316.74	4	0.863898
B0432.5c	1675	1495.74	0	0
F32G8.6	915	735.74	111	42.9043
T13F2.8a	840	660.74	350.992	151.067
T13F2.8b	829	649.74	0	0
T13F2.8c	941	761.74	181.008	67.576
C56A3.7a	1177	997.74	0	0
C56A3.7b	1081	901.74	0	0
C56A3.7c	604	424.74	0	0
C56A3.7d	967	787.74	18	6.49818
R10E11.1a	6657	6477.74	5.0463	0.22154
R10E11.1b	6690	6510.74	296.451	12.9487
R10E11.1c	6570	6390.74	423.503	18.8455
C54D2.5a	6129	5949.74	14.7063	0.702925
C54D2.5c	6174	5994.74	0.00332729	0.000157842
C54D2.5d	6273	6093.74	0	0
C54D2.5e	6150	5970.74	0.290331	0.0138283
C54D2.5f	4257	4077.74	0	0
T28F2.5	1962	1782.74	17	2.71184
Y56A3A.20	1312	1132.74	554	139.086
Y73F8A.6	1071	891.74	297	94.7154
F26E4.9.1	558	378.74	445.605	334.588
F26E4.9.2	644	464.74	212.529	130.05
F26E4.9.3	717	537.74	228.866	121.035
T10B9.10	1620	1440.74	0	0
F08F3.7	1590	1410.74	9	1.81425
ZK177.5.1	1691	1511.74	10.8636	2.04361
ZK177.5.2	1769	1589.74	183.136	32.7605
ZC518.3a	1855	1675.74	27.981	4.74853
ZC518.3b	3032	2852.74	865.674	86.2968
ZC518.3c.1	2270	2090.74	0	0
ZC518.3c.2	2347	2167.74	29.9712	3.93187
ZC518.3d	2034	1854.74	0	0
ZC518.3e	2405	2225.74	443.374	56.6497
T05C12.7	1869	1689.74	1852	311.69
T21B10.7	1926	1746.74	1650	268.632
K01C8.10.1	1853	1673.74	0.0356193	0.00605202
K01C8.10.2	1854	1674.74	1583.96	268.968
C07G2.3a.1	1928	1748.74	1124.38	182.849
C07G2.3a.2	1829	1649.74	1027.45	177.112
C07G2.3b.1	1564	1384.74	4.41895e-06	9.07513e-07
C07G2.3b.2	1465	1285.74	9.0622e-07	2.00439e-07
C07G2.3b.3	1544	1364.74	314.861	65.6103
C07G2.3b.4	1476	1296.74	98.2695	21.551
C07G2.3b.5	1464	1284.74	0.0341827	0.00756648
F01F1.8a.1	1910	1730.74	1748	287.218
F01F1.8a.2	1906	1726.74	8.58636e-05	1.41411e-05
F01F1.8b.1	1900	1720.74	8.22476e-07	1.35928e-07
F01F1.8b.2	1896	1716.74	0	0
C43E11.10	1755	1575.74	362	65.3321
C17G10.4a	2541	2361.74	0	0
C17G10.4b.1	3257	3077.74	74.8708	6.91804
C17G10.4b.2	3324	3144.74	281.438	25.4507
C17G10.4c	2520	2340.74	404.894	49.1916
C17G10.4d	2586	2406.74	0	0
C17G10.4e	2583	2403.74	20.7972	2.46047
K06A5.7.1	2262	2082.74	0.0769324	0.0105045
K06A5.7.2	2291	2111.74	1007.92	135.734
F16B4.8	2029	1849.74	299	45.9688
ZK637.11	1072	892.74	179.85	57.2911
R05H5.2	837	657.74	0	0
R07G3.1	1032	852.74	714	238.113
C47D2.2	900	720.74	13	5.12941
F49E8.4	635	455.74	195	121.68
C15B12.7a	2021	1841.74	104.047	16.0659
C15B12.7b	2136	1956.74	11.9528	1.73715
ZK112.7	10154	9974.74	30	0.855307
F25F2.2a	13301	13121.7	77.0141	1.6691
F25F2.2b	6145	5965.74	207.986	9.91453
F08B4.2a	4647	4467.74	0	0
F08B4.2b	4215	4035.74	0	0
F08B4.2c	4332	4152.74	0	0
F08B4.2d	3900	3720.74	9	0.687885
R05H10.6	4364	4184.74	2	0.135914
F59C12.1	2006	1826.74	2	0.311355
C45G7.5	5385	5205.74	3	0.163886
B0034.3a	3443	3263.74	61.0149	5.31646
B0034.3b	1036	856.74	0.473925	0.157313
B0034.3c	932	752.74	12.5112	4.72668
T05G5.3.1	1185	1005.74	358.13	101.264
T05G5.3.2	1225	1045.74	522.87	142.191
F18H3.5a	1225	1045.74	75	20.3958
F18H3.5b	1417	1237.74	0	0
T27E9.3	1108	928.74	209.889	64.2684
Y39G10AL.3.1	1260	1080.74	289.333	76.1342
Y39G10AL.3.2	1260	1080.74	20.6667	5.43815
F39H11.3	1969	1789.74	256	40.6773
